Lemma,Grundform
Span,"['#spanen', 'Einschürspan', 'Grünspaner', 'Hobelspäne', 'Kienspäne', 'Span, herausgehauter', 'Späne', 'Späne machen', 'Sägespäne', 'Sägspäne', 'anspanen', 'ausspanen', 'einspanen', 'grünspanig']"
Geige,"['(Leviten) geigen', 'Bettelgeige', 'Bettelgeiger', 'Gegeig', 'Hohlweggeiger', 'Leiereigeiger', 'Leviten geigen', 'Totengeiger', 'Zupfgeige', 'aftergeigen', 'eingeigen', 'geigen', 'heimgeigen', 'herumgeigen', 'zusammengeigen']"
gelten,"['1xgültig', 'Mustergültiger', 'abgelten', 'hochgültig', 'vergelten']"
28,['28er']
sechs,"['60er', 'Sechser']"
F,['A und F']
Pflaster,"['A-B-C-Pflaster', 'Gepflaster', 'Hofpflastern', 'Zerrpflaster', 'Zugpflaster', 'gepflastert', 'hinpflastern', 'pflastern', 'zusammenpflastern']"
fliegen,"['A-B-Fliege', 'Ahornflieger', 'Anflug', 'Brummfliege', 'Eintagsfliege', 'Fleischfliege', 'Fliege', 'Flieger', 'Gaulsfliege', 'Geflieg', 'Hereingeflogene', 'Hereingeflogener', 'Kohlflieger', 'Kuhfliege', 'Kühefliege', 'Schmeißfliege', 'Schweißfliege', 'Stallfliege', 'Stechfliege', 'Taubfliege', 'abgeflogen', 'angeflogen', 'auffliegen', 'ausfliegen', 'befliegen', 'blinde Fliege', 'fortfliegen', 'herunterfliegen', 'taube Fliege', 'umfliegen', 'verfliegen', 'vorfliegen', 'wegfliegen', 'zufliegen', 'zum Koppen fliegen']"
Abort,"['A-B-Papier', 'Abortpapier']"
Mann,"['A-Mannschaft', 'Ab- und Aufmännlein', 'Ascherkübelmänner', 'Aschermänner', 'Bettelmann', 'Bettelmänner', 'Bollermänner', 'Bützigmänner', 'Dreckmänner', 'Feuermänner', 'Feuriges Männlein', 'Gedingemann', 'Gemüsmann', 'Gevattermänner', 'Gewürzmann', 'Graues Männlein', 'Guten-Tag-Männlein', 'Heinzelmännerich', 'Kehrichmänner', 'Kehrichtmänner', 'Kübelmänner', 'Manna', 'Reitermann', 'Schuttmänner', 'abmanneln', 'armer Mann', 'aufmandeln', 'aufmanneln, sich', 'aufmänneln', 'aufmänneln, sich', 'bettelmannisch', 'ehrliche Männer', 'entmannen', 'feuriges Männlein', 'mannig', 'männlich', 'übermannen']"
klopfen,"['ABC-Klopfen', 'Abklopfer', 'Anklopfer', 'Anklopfet', 'Ausklopfer', 'Bettausklopfer', 'Bettklopfer', 'Bierklopfer', 'Eisklopfer', 'Fleischklopfer', 'Karfreitagsklopfer', 'Klopfer', 'Kloppe', 'Klopper', 'Klupfer', 'Kotelettklopfer', 'Rohrklopfer', 'Schnitzelklopfer', 'Schollenklopfer', 'Schollenklopper', 'Schrollenklopfer', 'Sprüchklopfer', 'Steinklopfer', 'Teppichausklopfer', 'Teppichklopfer', 'Wäscheklopfer', 'abklopfen', 'anklopfen', 'ausklopfen', 'beklopft', 'durchklopfen', 'geklopft', 'verklopfen', 'verkloppen', 'zerklopfen', 'zusammenklopfen']"
Arbeit,"['Abarbeiten', 'Arbeiten', 'Arbeiter', 'Arbeitslohn', 'Bahnarbeiter', 'Bauernarbeiter', 'Blitzarbeiter', 'Feierabendarbeiter', 'Forstarbeiter', 'Fremdarbeiter', 'Gastarbeiter', 'Gelegenheitsarbeiter', 'Gemeindearbeiten', 'Handarbeiter', 'Heckenarbeiter', 'Holzarbeiter', 'Kulturarbeiter', 'Nebenerwerbsarbeiter', 'Waldarbeiter', 'Zuarbeiter', 'abarbeiten', 'abarbeiten, sich', 'abgearbeitet', 'anarbeiten', 'arbeiten', 'arbeitsam', 'aufarbeiten', 'aufarbeiten, sich', 'aufgearbeitet', 'ausarbeiten', 'ausgearbeitet', 'bearbeiten', 'derarbeiten', 'durcharbeiten', 'emporarbeiten', 'emporarbeiten, sich', 'erarbeiten', 'gearbeitet', 'herabarbeiten', 'heraufarbeiten', 'herumarbeiten', 'herunterarbeiten', 'hinanarbeiten', 'hinaufarbeiten', 'hineinarbeiten', 'hocharbeiten', 'in die Höhe arbeiten, sich', 'umarbeiten', 'verarbeiten', 'voranarbeiten', 'vorarbeiten', 'vürarbeiten', 'wegarbeiten', 'zusammenarbeiten', 'zusammengearbeitet']"
beten,"['Abbeten', 'Aufbeten', 'Beter', 'Gebet', 'Gesundbeter', 'Hasenleichtbeter', 'Leichenbeter', 'Leichtbeter', 'Läutebeter', 'Vorbeter', 'Vorbeterin', 'abbeten', 'abgebeten', 'anbeten', 'derbeten', 'herunterbeten', 'verbeten']"
binden,"['Abbinden', 'Achsband', 'Achselband', 'Achsstockband', 'Angebind', 'Angebinde', 'Angebindetes', 'Band', 'Bandkette', 'Bauchband', 'Bauchbinde', 'Beckenband', 'Besenbinder', 'Binde', 'Binder', 'Bindern', 'Bindling', 'Bürdenbinder', 'Bürstbinder', 'Bürstenbinder', 'Dockenband', 'Dörrband', 'Einbindband', 'Eindrehband', 'Einwickelband', 'Entbindung', 'Fasselbinder', 'Fatschband', 'Fatschbinde', 'Garbband', 'Garbenband', 'Garbenbinder', 'Gebinde', 'Geißband', 'Getreideband', 'Halsband', 'Halsbinde', 'Hanfseilband', 'Hopfenband', 'Hopfenbänder', 'Hutband', 'Industrieband', 'Jochband', 'Juteband', 'Kerbenbinder', 'Kettenhalsband', 'Kinderwickelband', 'Kopfband', 'Kornband', 'Kufenband', 'Leibbinde', 'Mittelbinder', 'Mutterband', 'Nabelbinde', 'Pfatschband', 'Qualitätsband', 'Rastbinder', 'Reißband', 'Reklame-Papierband', 'Samtband', 'Schildscheitband', 'Schnurrenbinde', 'Schüttbinder', 'Seegrasband', 'Selbstbinder', 'Sisalband', 'Spreizband', 'Stirnbinder', 'Strickband', 'Strohband', 'Strohbinder', 'Strohpressbinder', 'Strohsband', 'Tragband', 'Türband', 'Verbindung', 'Weidenband', 'Wetterband', 'Wickelband', 'Wickelbinde', 'Wiegenband', 'Zigarrenbauchbinde', 'Zigarrenbinde', 'Zugverband', 'abbinden', 'abgebunden', 'anbandeln', 'anbandeln, sich', 'anbinden', 'anbändeln', 'aufbinden', 'bindern', 'einbinden', 'einen schönen aufbinden', 'entbinden', 'gebunden', 'herabbindern', 'herunterbinden', 'hinterbinden', 'umbinden', 'umgebinden', 'verbunden', 'wegbinden', 'wegbindern', 'zubendeln', 'zubinden', 'zugebunden', 'zurückbinden', 'zusammenbinden', 'zusammengebunden', 'Ösenband']"
