Lemma,Grundform
Korb,"['Abblattkörbel', 'Apfelkörblein', 'Beckenkörblein', 'Blattkörbel', 'Blattkörblein', 'Brechkörblein', 'Brockkörbelein', 'Handkörblein', 'Henkelkörblein', 'Kartoffelkörbchen', 'Körbchen', 'Körbel', 'Körbi', 'Körblein', 'Obstkörbel', 'Obstkörblein', 'Pflückkörblein', 'Rupfkörblein', 'Spankörblein', 'Tassenkörblein', 'Tragkörbchen', 'Zwickerkörblein']"
Bild,"['Abdruckbildlein', 'Bildlein', 'Flaschenbildlein']"
drücken,"['Abdruckelein', 'Drückebergerei', 'Drückerlein', 'Erdäpfeldrückelein']"
Fisch,"['Abfischen', 'Backfischlein', 'Erdäpfelsfischlein', 'Fischchen', 'Fischerstiefel', 'Fischlein', 'Goldfischlein', 'Nachfischen', 'Sackfischen']"
Gesetz,"['Abgesetzel', 'Gesetzchen', 'Gesetzel', 'Gesetzlein', 'Gesetztlein', 'Lerngesetzlein', 'Rechengesetzlein']"
Becken,"['Abputzbeckel', 'Abwaschbecklein', 'Beckel', 'Beckelein', 'Becklein', 'Handbeckel', 'Handbeckelein', 'Handbecklein', 'Waschbeckel', 'Waschbecklein']"
Schaufel,"['Abputzschäufelein', 'Ackerschäufelein', 'Ackerschäuferl', 'Ackerschäuflein', 'Aschenschäufelein', 'Backschauferl', 'Bützigschäufelein', 'Dreckschäufelein', 'Dreckschäuferl', 'Fingerschäufelein', 'Grundbirnenschäufelein', 'Handschäufelein', 'Kartoffelschäufelein', 'Kehrichschäufelein', 'Kehrichtschäufelein', 'Kehrschäufelein', 'Klößeschäufelein', 'Kohlenschäufelein', 'Küchenschäufelein', 'Pflugschäufelein', 'Reutenschauferl', 'Reutenschäufelein', 'Reutenschäuferl', 'Reutschaufelein', 'Reutschäufelein', 'Schauferl', 'Schäufelchen', 'Schäufelein', 'Stubenschäufelein', 'Teigschäufelein', 'Trittschäufelein', 'Türschäufelein', 'Äschenschäufelein']"
rechen,"['Abrechsel', 'Eisenrechenlein', 'Eisenrechlein', 'Eisrechelein', 'Gartenrechelein', 'Gerechsel', 'Moosigrechelein', 'Nachgerechtel', 'Nachrechel', 'Rechelein', 'Rechelgabel', 'Rechenlein', 'Rechenstecklein', 'Recherlein', 'Rechlein', 'Rechsel', 'Zusammenrechel', 'Zusammenrechenri', 'Zusammenrechsel']"
reiben,"['Abreiberlein', 'Abriebel', 'Brotriebel', 'Eierriebelein', 'Eingereibel', 'Einreibsel', 'Erdbirnenreiberlein', 'Erdbirnreibelein', 'Erdäpfelreiberlein', 'Geriebelein', 'Mehlriebel', 'Reibeisenlein', 'Reibel', 'Reibelein', 'Reiberlein', 'Reibsel', 'Rieblein', 'Riebschemel']"
Ries,"['Abriesel', 'Tennenriesel', 'Tennriesel']"
