Lemma,Grundform
Rute,"['Aaronsrute', 'Barnrute', 'Barnsrute', 'Eierruten', 'Gänsrute', 'Herrnruten', 'Quadratrute', 'Schneerute', 'Sperrrute', 'Tagrute', 'Weiherrütlein']"
Geier,"['Aasgeier', 'Gänsegeier', 'Hennengeier', 'Jochgeier', 'Nachtgeier', 'Taubengeier', 'Wäschegeier']"
beten,"['Abbeten', 'Dankbeten', 'Gesundbeten', 'Gesundbeter', 'Gesundbeterin', 'Hasenleichtbeter', 'Leichenbeter', 'Leichtbeter', 'Sündabbeten', 'Vorbeter', 'Vorbeterin']"
bitten,"['Abbitte', 'Abbitten', 'Leichenbitter']"
Korb,"['Abblattkörbel', 'Apfelkorb', 'Apfelkörblein', 'Armkorb', 'Babykorb', 'Beckenkorb', 'Bienenkorb', 'Blatterskorb', 'Blattkorb', 'Blattkörbel', 'Blattkörblein', 'Brechkorb', 'Brechkörblein', 'Brockkörbelein', 'Esskorb', 'Frankenkorb', 'Futterkorb', 'Fütterkorb', 'Gartenkorb', 'Graskorb', 'Grundbirnskorb', 'Halbkorb', 'Handkorb', 'Handkörblein', 'Henkelkorb', 'Henkelkörblein', 'Huckekorb', 'Huckelkorb', 'Immenkorb', 'Kartoffelkörbchen', 'Laubkorb', 'Marktkorb', 'Metzenkorb', 'Mähkorb', 'Obstkorb', 'Obstkörbel', 'Obstkörblein', 'Pflückkorb', 'Pflückkörblein', 'Rupfkorb', 'Rupfkörblein', 'Rütchenkorb', 'Schüsselkorb', 'Sensenkorb', 'Spankörblein', 'Starenkorb', 'Streukorb', 'Säkorb', 'Tassenkörblein', 'Tragkorb', 'Tragkörbchen', 'Weidenkorb', 'Weidkorb', 'Wäschkorb', 'Zainkorb', 'Zwickerkörblein']"
brechen,"['Abbruch', 'Anbruch', 'Apfelbrecher', 'Apfelsbrecher', 'Aufbruch', 'Bahnbrecher', 'Brecheis', 'Bruch', 'Bügelbruch', 'Durchbruch', 'Ehebrecherin', 'Einbrecher', 'Eisbruch', 'Erstumbruch', 'Frischumbruch', 'Halmumbrechen', 'Halsbrecher', 'Hineinbruch', 'Hosenbruch', 'Neubodenbruch', 'Neubruch', 'Neuumbruch', 'Reihenbrechen', 'Schneeabbruch', 'Schneebrecher', 'Schneebruch', 'Schussbrecher', 'Steinbrecher', 'Steinbrüchler', 'Umbrechen', 'Umbrechung', 'Umbruch', 'Waldbruch', 'Waldumbruch', 'Wiesenumbruch', 'Windbruch', 'Wolkenbruch', 'Wutausbruch', 'Zahnbrecher', 'Zähnebrecher']"
Butz,"['Abbutz', 'Abbutzet', 'Abbutzig', 'Abbützig', 'Abfallbützig', 'Adamsbutzen', 'Adamsbützel', 'Adamsbützlein', 'Apfelbutzen', 'Apfelbützlein', 'Apfelsbützlein', 'Aprilbutz', 'Aprilbutzen', 'Ausbutzig', 'Barnbützig', 'Birnenbutzen', 'Birnenbützel', 'Butzelein', 'Butzer', 'Bäumebützig', 'Erdapfelbutzen', 'Erdbirnbützel', 'Erdbirnbützig', 'Erdbirnenbutzel', 'Erdbirnenbützel', 'Erdbirnenbützig', 'Erdäpfelbutzen', 'Erdäpfelsbutz', 'Fichtenbutzel', 'Fichtenbutzelein', 'Frühjahrsbutzen', 'Gemüsbutzel', 'Gemüsebutzel', 'Gemüsebutzen', 'Gemüsebutzig', 'Gemüsegebützig', 'Gewitterbutze', 'Gewitterbutzen', 'Grasbutzen', 'Haarbutt', 'Haarbutz', 'Haarbutzen', 'Haferbutzelein', 'Hagebutz', 'Hagebutze', 'Hagebutzer', 'Hagelbutz', 'Hagelbutze', 'Herzbützelein', 'Heubützig', 'Hundsbutz', 'Hängebutze', 'Hühnerbutz', 'Krenbützig', 'Kühbutzel', 'Magenbutz', 'Maienbutzen', 'Mehlbutzlein', 'Nestbutzel', 'Ofenbutzelein', 'Pfandbutzen', 'Rasenbutzen', 'Saubutz', 'Schauerbutzen', 'Schlehenbutzen', 'Schneebutzen', 'Schnuckebutzi', 'Schnuckibutzi', 'Schulbutzelein', 'Tannenbutzel', 'Tannenbutzelein', 'Wasenbutzen', 'Wegbutzig', 'Zusammenbutzig', 'Äpfelbutzen']"
decken,"['Abdecker', 'Balkendecke', 'Bodendecker', 'Doppeldecker', 'Eisdecke', 'Eisdeckelein', 'Eisdecklein', 'Grasdecke', 'Holzdecke', 'Knittereisdecke', 'Rasendeck', 'Rasendecke', 'Schieferdecker', 'Strohdecke', 'Tischdecklein', 'Wachsdeckener', 'Zudecke']"
Rasen,"['Abdeckrasen', 'Wehrrasen']"
dingen,"['Abding', 'Andinger', 'Ausbeding', 'Ausding', 'Ausdingig', 'Ausgeding', 'Eindinger', 'Eingedingte', 'Knechteverdinger', 'Leibgeding', 'Mägdeverdinger', 'Mägdeverdingerin']"
drücken,"['Abdruck', 'Abdruckelein', 'Albdruck', 'Albdrücken', 'Allerweltsausdruck', 'Andruck', 'Ausdruck', 'Druck', 'Druddrücken', 'Eindruck', 'Fingerabdruck', 'Gesichtsausdruck', 'Grundbirnendrücker', 'Hexendruck', 'Hexendrücken', 'Luftdruck', 'Mordsdruck', 'Schneedruck', 'Schuhabdruck', 'Stopferdrücker', 'Winddruck']"
Bild,"['Abdruckbildlein', 'Allerweltsmannsbild', 'Bärenmannsbild', 'Eigebildeter', 'Einbilder', 'Einbildung', 'Eingebildete', 'Eingebildeter', 'Eingebildetes', 'Flaschenbildlein', 'Hünenmannsbild', 'Klatschweibsbild', 'Mannbild', 'Mannbilder', 'Mannsbild', 'Mannsbilder', 'Mordsmannsbild', 'Mordsweibsbild', 'Müllmannsbilder', 'Riesenmannsbild', 'Sauweibsbild', 'Teufelsweibsbild', 'Traumbild', 'Waisbild', 'Weibbild', 'Weibsbild', 'Weibsbilder', 'Wunderwettersweibsbild', 'eingebildet']"
Arbeit,"['Abendarbeit', 'Bahnarbeiter', 'Bauernarbeiter', 'Blitzarbeiter', 'Donnerkeilsarbeit', 'Feierabendarbeiter', 'Forstarbeiter', 'Freizeitarbeit', 'Fremdarbeiter', 'Gartenarbeit', 'Gastarbeiter', 'Gelegenheitsarbeiter', 'Grobarbeit', 'Handarbeiter', 'Heckenarbeiter', 'Holzarbeiter', 'Hundsarbeit', 'Kulturarbeiter', 'Nebenerwerbsarbeiter', 'Ochsenarbeit', 'Sauarbeit', 'Schweinearbeit', 'Stallarbeit', 'Waldarbeiter']"
